2014-03-25 23:48:10,323 [main] INFO  (BTree.java [printStatistics]:2549) - collections.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2014-03-25 23:48:10,324 [main] INFO  (BFile.java [printStatistics]:435) - collections.dbx DATA Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2014-03-25 23:48:10,325 [main] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : N/A 
2014-03-25 23:48:10,325 [main] INFO  (BFile.java [printStatistics]:435) - values.dbx DATA Buffers occupation : 0% (0 out of 64) Cache efficiency : N/A 
2014-03-25 23:48:10,388 [main] INFO  (Configurator.java [save]:1247) - Storing configuration /db/system/security/config.xml 
2014-03-25 23:48:10,464 [main] INFO  (NativeBroker.java [sync]:3738) - Memory: 118,464K total; 930,304K max; 85,463K free 
2014-03-25 23:48:10,464 [main] INFO  (BTree.java [printStatistics]:2549) - dom.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2014-03-25 23:48:10,465 [main] INFO  (DOMFile.java [printStatistics]:1369) - dom.dbx DATA Buffers occupation : 1% (3 out of 256) Cache efficiency : 100% 
2014-03-25 23:48:10,466 [main] INFO  (BTree.java [printStatistics]:2549) - collections.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2014-03-25 23:48:10,466 [main] INFO  (BFile.java [printStatistics]:435) - collections.dbx DATA Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2014-03-25 23:48:10,467 [main] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : N/A 
2014-03-25 23:48:10,467 [main] INFO  (BFile.java [printStatistics]:435) - values.dbx DATA Buffers occupation : 0% (0 out of 64) Cache efficiency : N/A 
2014-03-25 23:48:10,584 [main] INFO  (Configurator.java [save]:1247) - Storing configuration /db/system/security/exist/accounts/admin.xml 
2014-03-25 23:48:10,603 [main] INFO  (NativeBroker.java [sync]:3738) - Memory: 118,464K total; 930,304K max; 85,463K free 
2014-03-25 23:48:10,603 [main] INFO  (BTree.java [printStatistics]:2549) - dom.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2014-03-25 23:48:10,604 [main] INFO  (DOMFile.java [printStatistics]:1369) - dom.dbx DATA Buffers occupation : 2% (4 out of 256) Cache efficiency : 100% 
2014-03-25 23:48:10,604 [main] INFO  (BTree.java [printStatistics]:2549) - collections.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2014-03-25 23:48:10,606 [main] INFO  (BFile.java [printStatistics]:435) - collections.dbx DATA Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2014-03-25 23:48:10,607 [main] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : N/A 
